name_en,name_ar,category,subcategory,area,price_model,price_min_qar,price_max_qar,age_min,age_max,age_notes,free_flag,description_short_en,description_short_ar,sources,notes
Funderdome,فنديردوم,paid_indoor,soft_play,Al Gharrafa,per_visit,50,80,0,14,"Toddler ≤100cm QAR 50, active play QAR 80",0,"Ball pit, climbing, rope course, trampolines","حوض كرات وتسلق ومسار حبال وترامبولين","Marhaba, KidsLoveQatar",
BOUNCE,باونس,paid_indoor,soft_play,Tawar Mall + Porto Arabia,per_hour,55,120,3,16,"miniBOUNCE for under 110cm",0,"Trampoline park with separate zone for under 110cm","حديقة ترامبولين مع منطقة للأصغر من 110سم","Time Out Doha",
Rebound,ريباوند,paid_indoor,soft_play,The Gate Mall,per_hour,100,100,4,14,,0,"Trampoline + soft play","ترامبولين وملعب داخلي","KidsLoveQatar",
Kids Corner,ركن الأطفال,paid_indoor,soft_play,"Mall of Qatar, Place Vendôme",per_hour,60,60,1,7,"Drop-off option",0,"Ages 1–7, drop-off option available","للأعمار 1-7 مع خيار ترك الأطفال","Qatar Living",
Caboodle,كابودل,paid_indoor,soft_play,"DFC, Mall of Qatar, Place Vendôme, Padel In Qatar",per_hour,65,95,1,10,"Stay & play or drop & shop",0,"Popular with expats — also has kiddie salon","محبوب لدى الأجانب — به صالون للأطفال","ILQ, Marhaba",
Minipolis,ميني بوليس,paid_indoor,premium_softplay,The Pearl (inside Megapolis),per_session,250,450,2,10,"1 kid / 3hrs = QAR 250; 2 kids / 3hrs = QAR 450",0,"Cooking, slime, wall climbing","طبخ وسلايم وتسلق","Marhaba",
Jungaloona,جنغالونا,paid_indoor,soft_play,Lagoona Mall,card_topup,,,3,12,,0,"Soft play + 7D cinema","ملعب داخلي وسينما 7D","KidsLoveQatar",
Spark Sense and Play,سبارك,paid_indoor,soft_play,Doha Festival City,card_topup,,,2,8,,0,"Sensory / creative focus","تركيز حسي وإبداعي","Time Out Doha",
Noor Land,نورلاند,paid_indoor,soft_play,Multiple,varies,,,1,8,,0,"Toddler-focused — ball pit and rides","للصغار — حوض كرات وألعاب","ILQ",
Fun Ville,فن فيل,paid_indoor,soft_play,"Abu Sidra Mall, Ezdan Mall",card_topup,,,1,12,,0,"Ages 1–12 community mall soft plays","ملاعب داخلية للأعمار 1-12 في مولات المجتمع","Marhaba",
WOW Park,واو بارك,paid_indoor,soft_play,Al Hazm / various,varies,,,2,12,,0,"Soft play, carousel, adventure zones","ملعب داخلي وكاروسيل ومناطق مغامرات","KidsLoveQatar",
Xtremeland,إكستريم لاند,paid_indoor,soft_play,Mall of Qatar,card_topup,,,3,14,,0,"Soft play + trampolines + 7D","ملعب داخلي وترامبولين و7D","Qatar Living",
