id,name_en,name_ar,category,subcategory,neighborhood,address_hint,age_min,age_max,price_tier,price_note,indoor_outdoor,ac,stroller,prayer_room,halal,parking,booking,website,instagram,phone_pattern,blurb_en,blurb_ar,honest_note,status,editorial_priority,featured_candidate,source_note
aspire-park,Aspire Park,حديقة أسباير,park,large urban park,Aspire,"Al Waab St, next to Aspire Tower",0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"Qatar’s largest urban park, with playgrounds, a lake, skate ramps, and long shaded paths. Good at sunrise or after 4pm. The loop is 2.2 km — strollers handle it easily.",قيد المراجعة,Midday in summer is brutal; aim for early morning or after sunset. Weekends get packed near the playground.,verified,1,Y,Qatar Tourism
al-bidda-park,Al Bidda Park,حديقة البدع,park,large urban park,Corniche,"Opposite Corniche, near Diwan",0,0,free,Free,outdoor,N,Y,Y,N,Y,walk-in,,,,"Sprawling park across from the Corniche with several themed play zones, a skate park, outdoor gyms and an amphitheatre. Lots of shade at the north end. Food trucks on Friday evenings.",قيد المراجعة,Weekday mornings are calm. Fridays get very busy near the splash area.,verified,1,Y,editorial seed — verify before publish
mia-park,MIA Park,حديقة متحف الفن الإسلامي,park,waterfront park,Corniche,Museum of Islamic Art waterfront,0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"A waterfront park with skyline views, gentle slopes for scooters, and a playground at the eastern end. Pair it with the museum cafe for a short outing with under-8s.",قيد المراجعة,Parking fills on weekends; use the museum lot or walk in from the Corniche.,verified,1,Y,editorial seed — verify before publish
oxygen-park,Oxygen Park,حديقة الأكسجين,park,running & playground,Education City,"Education City, near QF HQ",0,0,free,Free,outdoor,N,Y,Y,Y,Y,walk-in,,,,"Designed as a running and walking park with long, shaded undulating paths. The playground near the east gate works well for ages 3–9. Breezy even in hotter months.",قيد المراجعة,Play equipment can get hot mid-afternoon; pick morning or evening.,verified,2,Y,editorial seed — verify before publish
katara-beach,Katara Beach,شاطئ كتارا,beach,family beach,Katara,Katara Cultural Village beachfront,0,0,low,Entry from QAR 15,outdoor,N,Y,Y,Y,Y,walk-in,,,,"Calm, supervised beach with shallow entry and watersports rentals at the Pearl end. Sunshades available to rent. Pair it with a walk through Katara after sunset.",قيد المراجعة,Afternoons bake in summer — mornings are safer for under-5s.,verified,1,Y,editorial seed — verify before publish
al-wakrah-family-beach,Al Wakrah Family Beach,شاطئ الوكرة العائلي,beach,family beach,Al Wakra,South of Souq Al Wakrah,0,0,free,Free,outdoor,N,partial,Y,Y,Y,walk-in,,,,"Long, shallow beach with shaded gazebos, BBQ pits, and a playground at the north end. A solid Saturday-morning pick if Corniche feels too busy.",قيد المراجعة,Sand gets hot; bring water shoes for toddlers.,verified,2,Y,editorial seed — verify before publish
simaisma-beach,Simaisma Beach,شاطئ سميسمة,beach,day beach,Al Khor,"Between Lusail and Al Khor, coastal road",0,0,free,Free,outdoor,N,partial,unknown,unknown,Y,walk-in,,,,"Quiet stretch of coast north of Lusail, shallow for a long way out. Popular with families for kite flying in the cooler months.",قيد المراجعة,No café or shade — bring everything you need.,verifying,3,N,editorial seed — verify before publish
souq-waqif-kids,Souq Waqif,سوق واقف,mall-play,heritage souq,Msheireb,"Off the Corniche, heritage district",0,0,free,Free to wander,mixed,partial,partial,Y,Y,paid,walk-in,,,,"Not a kids venue per se, but the falcon souq, horse stables and toy-shop alley make a great after-sunset walk for ages 4+. Try one of the courtyard restaurants when the band is playing.",قيد المراجعة,Strollers struggle on the cobblestones. Evenings get very crowded on weekends.,verified,2,Y,editorial seed — verify before publish
katara-cultural-village,Katara Cultural Village,الحي الثقافي كتارا,mall-play,cultural village,Katara,"West Bay coastal, north of Pearl",0,0,free,Free; events vary,mixed,partial,Y,Y,Y,Y,walk-in,,,,"Open-air village with amphitheatre, galleries, a kids’ reading nook at Katara Library, and seasonal festivals for ages 5+. Good for a two-hour evening loop.",قيد المراجعة,Very few covered walkways in summer — plan for sunset.,verified,1,Y,editorial seed — verify before publish
the-pearl-boardwalk,The Pearl Boardwalk,كورنيش اللؤلؤة,park,waterfront promenade,The Pearl,Porto Arabia marina,0,0,free,Free,outdoor,N,Y,Y,Y,paid,walk-in,,,,"Flat, stroller-friendly promenade around the Porto Arabia marina. Works as a pre-dinner walk with scooters for ages 4–9.",قيد المراجعة,Parking in the basement garages is paid after the first hour on weekends.,verified,2,N,editorial seed — verify before publish
